"Database_Name","Table_Name","Column_Name","Column_Order","Column_Type_Full","Data_Type_Base","Is_Nullable","Column_Key_Type","Default_Value","Extra_Info","Column_Comment"
smap2_db,alembic_version,version_num,1,varchar(32),varchar,NO,PRI,,"",""
smap2_db,banner_t,bt_idx,1,int(11),int,NO,PRI,,auto_increment,""
smap2_db,banner_t,bt_type,2,tinyint(1),tinyint,YES,MUL,NULL,"",구분 1:메인배너
smap2_db,banner_t,bt_title,3,varchar(100),varchar,YES,MUL,NULL,"",제목
smap2_db,banner_t,bt_file,4,varchar(50),varchar,YES,"",NULL,"",파일명
smap2_db,banner_t,bt_file_ori,5,varchar(50),varchar,YES,"",NULL,"",원본파일명
smap2_db,banner_t,bt_file_size,6,varchar(50),varchar,YES,"",NULL,"",파일사이즈
smap2_db,banner_t,bt_url,7,varchar(255),varchar,YES,"",NULL,"",url
smap2_db,banner_t,bt_target,8,tinyint(1),tinyint,YES,"",NULL,"","타겟 1:새창, 2:현재창"
smap2_db,banner_t,bt_rank,9,int(11),int,YES,"",NULL,"",노출순서 (낮을수록 먼저 노출)
smap2_db,banner_t,bt_show,10,"enum('Y','N')",enum,YES,MUL,'Y',"",노출여부
smap2_db,banner_t,bt_wdate,11,datetime,datetime,YES,"",NULL,"",등록일시
smap2_db,coupon_log_t,clt_idx,1,int(11),int,NO,PRI,,auto_increment,""
smap2_db,coupon_log_t,mt_idx,2,int(11),int,YES,MUL,NULL,"",회원idx
smap2_db,coupon_log_t,coupon_idx,3,int(11),int,YES,MUL,NULL,"",쿠폰idx
smap2_db,coupon_log_t,coupon_code,4,varchar(50),varchar,YES,MUL,NULL,"",쿠폰코드
smap2_db,coupon_log_t,clt_show,5,"enum('Y','N')",enum,YES,"",'Y',"",노출여부 Y:노출 N:미노출
smap2_db,coupon_log_t,clt_wdate,6,datetime,datetime,YES,"",NULL,"",사용일자
smap2_db,coupon_log_t,clt_cdate,7,datetime,datetime,YES,"",NULL,"",취소일시
smap2_db,coupon_t,ct_idx,1,int(11),int,NO,PRI,,auto_increment,""
smap2_db,coupon_t,ct_title,2,varchar(255),varchar,YES,MUL,NULL,"",쿠폰명
smap2_db,coupon_t,ct_subtitle,3,varchar(255),varchar,YES,MUL,NULL,"",쿠폰설명
smap2_db,coupon_t,ct_code,4,varchar(50),varchar,YES,MUL,NULL,"",쿠폰코드
