2025-05-09 23:39:04 startup archives unpack
2025-05-09 23:39:04 install netbase:all <none> 6.4
2025-05-09 23:39:04 status half-installed netbase:all 6.4
2025-05-09 23:39:04 status unpacked netbase:all 6.4
2025-05-09 23:39:04 install libssl3:amd64 <none> 3.0.15-1~deb12u1
2025-05-09 23:39:04 status triggers-pending libc-bin:amd64 2.36-9+deb12u10
2025-05-09 23:39:04 status half-installed libssl3:amd64 3.0.15-1~deb12u1
2025-05-09 23:39:04 status unpacked libssl3:amd64 3.0.15-1~deb12u1
2025-05-09 23:39:04 install openssl:amd64 <none> 3.0.15-1~deb12u1
2025-05-09 23:39:04 status half-installed openssl:amd64 3.0.15-1~deb12u1
2025-05-09 23:39:04 status unpacked openssl:amd64 3.0.15-1~deb12u1
2025-05-09 23:39:04 install ca-certificates:all <none> 20230311
2025-05-09 23:39:04 status half-installed ca-certificates:all 20230311
2025-05-09 23:39:04 status unpacked ca-certificates:all 20230311
2025-05-09 23:39:04 startup packages configure
2025-05-09 23:39:04 configure libssl3:amd64 3.0.15-1~deb12u1 <none>
2025-05-09 23:39:04 status unpacked libssl3:amd64 3.0.15-1~deb12u1
2025-05-09 23:39:04 status half-configured libssl3:amd64 3.0.15-1~deb12u1
2025-05-09 23:39:04 status installed libssl3:amd64 3.0.15-1~deb12u1
2025-05-09 23:39:04 configure netbase:all 6.4 <none>
2025-05-09 23:39:04 status unpacked netbase:all 6.4
2025-05-09 23:39:04 status half-configured netbase:all 6.4
2025-05-09 23:39:04 status installed netbase:all 6.4
2025-05-09 23:39:04 configure openssl:amd64 3.0.15-1~deb12u1 <none>
2025-05-09 23:39:04 status unpacked openssl:amd64 3.0.15-1~deb12u1
2025-05-09 23:39:04 status half-configured openssl:amd64 3.0.15-1~deb12u1
2025-05-09 23:39:04 status installed openssl:amd64 3.0.15-1~deb12u1
2025-05-09 23:39:04 configure ca-certificates:all 20230311 <none>
2025-05-09 23:39:04 status unpacked ca-certificates:all 20230311
2025-05-09 23:39:04 status half-configured ca-certificates:all 20230311
2025-05-09 23:39:05 status installed ca-certificates:all 20230311
2025-05-09 23:39:05 status triggers-pending ca-certificates:all 20230311
2025-05-09 23:39:05 trigproc libc-bin:amd64 2.36-9+deb12u10 <none>
2025-05-09 23:39:05 status half-configured libc-bin:amd64 2.36-9+deb12u10
2025-05-09 23:39:05 status installed libc-bin:amd64 2.36-9+deb12u10
2025-05-09 23:39:05 trigproc ca-certificates:all 20230311 <none>
2025-05-09 23:39:05 status half-configured ca-certificates:all 20230311
2025-05-09 23:39:06 status installed ca-certificates:all 20230311
