"mlt_idx","mt_idx","mlt_lat","mlt_long","mlt_accuacy","mlt_speed","mlt_battery","mlt_fine_location","mlt_location_chk","mt_health_work","mlt_gps_time","mlt_wdate","stay_lat","stay_long"
49644554,1186,37.51865000000000,126.88498000000000,18.3272,0.0,85,N,N,52,2025-05-05 00:57:12.000,2025-05-05 00:57:15.000,,
49644555,1186,37.51865000000000,126.88498000000000,18.3272,0.0,85,N,N,52,2025-05-05 00:57:15.000,2025-05-05 00:57:15.000,,
49644602,1186,37.51865000000000,126.88498000000000,8.25513,0.0,85,N,N,57,2025-05-05 00:58:21.000,2025-05-05 00:58:21.000,,
49644624,1186,37.51865000000000,126.88498000000000,8.08866,0.173241,85,N,N,57,2025-05-05 00:59:04.000,2025-05-05 00:59:05.000,,
49644635,1186,37.51872000000000,126.88489000000000,9.57946,1.36196,85,N,N,57,2025-05-05 00:59:20.000,2025-05-05 00:59:22.000,,
49644661,1186,37.51863000000000,126.88490000000000,18.1928,2.84373,85,N,N,57,2025-05-05 01:00:22.000,2025-05-05 01:00:40.000,,
49644663,1186,37.51871000000000,126.88495000000000,25.4131,3.95844,85,N,N,57,2025-05-05 01:00:27.000,2025-05-05 01:00:40.000,,
49644664,1186,37.51884000000000,126.88501000000000,14.9063,0.0,85,N,N,57,2025-05-05 01:00:33.000,2025-05-05 01:00:40.000,,
49644680,1186,37.51885000000000,126.88505000000000,8.33147,0.0,85,N,N,57,2025-05-05 01:01:20.000,2025-05-05 01:01:20.000,,
49644684,1186,37.51876000000000,126.88500000000000,21.8677,0.196669,85,N,N,57,2025-05-05 01:01:29.000,2025-05-05 01:01:29.000,,
49644692,1186,37.51865000000000,126.88498000000000,10.393,0.0,85,N,N,57,2025-05-05 01:01:43.000,2025-05-05 01:01:43.000,,
49651305,1186,37.51865000000000,126.88498000000000,9.61705,1.87084,80,N,N,57,2025-05-05 07:11:40.000,2025-05-05 07:11:41.000,,
49651326,1186,37.51871000000000,126.88487000000000,10.8146,1.19289,80,N,N,57,2025-05-05 07:12:23.000,2025-05-05 07:12:24.000,,
49651347,1186,37.51867000000000,126.88476000000000,10.9672,0.109767,80,N,N,57,2025-05-05 07:13:09.000,2025-05-05 07:13:10.000,,
49651407,1186,37.51865000000000,126.88497000000000,13.3643,0.394534,75,N,N,57,2025-05-05 07:15:50.000,2025-05-05 07:15:51.000,,
49651428,1186,37.51874000000000,126.88495000000000,13.192,0.0,75,N,N,57,2025-05-05 07:16:46.000,2025-05-05 07:16:46.000,,
49651460,1186,37.51865000000000,126.88493000000000,11.1649,0.219345,75,N,N,57,2025-05-05 07:18:12.000,2025-05-05 07:18:13.000,,
49651484,1186,37.51873000000000,126.88499000000000,13.9305,0.0563655,75,N,N,57,2025-05-05 07:19:14.000,2025-05-05 07:19:15.000,,
49651582,1186,37.51864000000000,126.88494000000000,14.0863,0.115819,75,N,N,57,2025-05-05 07:23:53.000,2025-05-05 07:23:54.000,,
49651614,1186,37.51856000000000,126.88501000000000,9.97598,0.0808471,75,N,N,57,2025-05-05 07:24:58.000,2025-05-05 07:24:59.000,,
49651632,1186,37.51865000000000,126.88495000000000,13.4691,0.394324,75,N,N,57,2025-05-05 07:25:27.000,2025-05-05 07:25:27.000,,
49651640,1186,37.51870000000000,126.88485000000000,17.7622,0.183635,75,N,N,57,2025-05-05 07:25:43.000,2025-05-05 07:25:43.000,,
49651646,1186,37.51860000000000,126.88488000000000,13.2269,0.0157194,75,N,N,57,2025-05-05 07:25:57.000,2025-05-05 07:25:58.000,,
49651658,1186,37.51867000000000,126.88497000000000,13.0879,0.110502,75,N,N,57,2025-05-05 07:26:15.000,2025-05-05 07:26:16.000,,
49651723,1186,37.51872000000000,126.88487000000000,20.3322,0.135879,75,N,N,57,2025-05-05 07:27:43.000,2025-05-05 07:27:43.000,,
